Kreise;Insgesamt;Männlich;Weiblich
0       Niedersachsen            ;;;
 ;;;
            Insgesamt;7962775;3931876;4030899
 ;;;
             0 -  1;73313;37320;35993
             1 -  2;74860;38300;36560
             2 -  3;72122;37164;34958
             3 -  4;72135;37230;34905
             4 -  5;69436;35566;33870
             5 -  6;69040;35481;33559
             6 -  7;68097;34983;33114
             7 -  8;70614;36364;34250
             8 -  9;69776;35982;33794
             9 - 10;71987;36929;35058
            10 - 11;72131;37312;34819
            11 - 12;71674;36984;34690
            12 - 13;73155;37608;35547
            13 - 14;75876;38902;36974
            14 - 15;76367;39128;37239
            15 - 16;79148;40802;38346
            16 - 17;82353;42435;39918
            17 - 18;87093;45402;41691
            18 - 19;88627;46746;41881
            19 - 20;90637;47432;43205
            20 - 21;93935;49244;44691
            21 - 22;92656;48778;43878
            22 - 23;90644;47812;42832
            23 - 24;91319;48297;43022
            24 - 25;93724;49660;44064
            25 - 26;93315;49111;44204
            26 - 27;94533;49691;44842
            27 - 28;98616;51986;46630
            28 - 29;96242;50485;45757
            29 - 30;98536;51571;46965
            30 - 31;96085;49947;46138
            31 - 32;94411;48784;45627
            32 - 33;91033;46289;44744
            33 - 34;89810;46035;43775
            34 - 35;90950;46094;44856
            35 - 36;92730;46728;46002
            36 - 37;93161;46615;46546
            37 - 38;93895;46735;47160
            38 - 39;89645;44727;44918
            39 - 40;89495;44814;44681
            40 - 41;89058;44564;44494
            41 - 42;89511;44601;44910
            42 - 43;87564;43913;43651
            43 - 44;90373;44883;45490
            44 - 45;92304;45688;46616
            45 - 46;100816;50367;50449
            46 - 47;111040;55230;55810
            47 - 48;116339;57867;58472
            48 - 49;126175;63325;62850
            49 - 50;132553;66644;65909
            50 - 51;136608;68339;68269
            51 - 52;139153;70040;69113
            52 - 53;137504;69467;68037
            53 - 54;138327;69335;68992
            54 - 55;136258;68526;67732
            55 - 56;131316;65607;65709
            56 - 57;129757;64941;64816
            57 - 58;123878;61828;62050
            58 - 59;120074;59787;60287
            59 - 60;112883;56150;56733
            60 - 61;110459;54614;55845
            61 - 62;105802;52345;53457
            62 - 63;101633;50106;51527
            63 - 64;99379;48297;51082
            64 - 65;95744;46393;49351
            65 - 66;96217;46686;49531
            66 - 67;94482;45834;48648
            67 - 68;94319;45941;48378
            68 - 69;92813;45151;47662
            69 - 70;85313;41549;43764
            70 - 71;77412;37096;40316
            71 - 72;71558;34073;37485
            72 - 73;56166;26658;29508
            73 - 74;74555;34772;39783
            74 - 75;76098;35786;40312
            75 - 76;72877;34010;38867
            76 - 77;87404;40077;47327
            77 - 78;89249;40325;48924
            78 - 79;85600;38063;47537
            79 - 80;79444;35022;44422
            80 - 81;70622;30736;39886
            81 - 82;64032;27128;36904
            82 - 83;58456;24230;34226
            83 - 84;50325;20257;30068
            84 - 85;36812;14310;22502
            85 - 86;34092;12733;21359
            86 - 87;32046;11616;20430
            87 - 88;30229;10455;19774
            88 - 89;25566;8567;16999
            89 - 90;22401;7205;15196
            90 - 91;18372;5675;12697
            91 - 92;14991;4195;10796
            92 - 93;12401;3115;9286
            93 - 94;9003;2021;6982
            94 - 95;6906;1455;5451
            95 - 96;5259;1009;4250
            96 - 97;3881;735;3146
            97 - 98;2681;493;2188
            98 - 99;1434;242;1192
            99 - 100;610;98;512
            100 und älter;1465;228;1237
1       Braunschweig             ;;;
 ;;;
            Insgesamt;1595734;789724;806010
 ;;;
             0 -  1;14177;7191;6986
             1 -  2;14782;7589;7193
             2 -  3;14009;7135;6874
             3 -  4;13856;7112;6744
             4 -  5;13265;6753;6512
