Alter;Insg;Männlich;Weiblich
0       Niedersachsen            ;;;
                         Insgesamt;93713;45958;47755
                         u. 1 Jahr;287;174;113
                          1 - 15;106;57;49
                         15 - 20;98;64;34
                         20 - 30;346;248;98
                         30 - 40;642;429;213
                         40 - 50;1763;1097;666
                         50 - 60;5901;3724;2177
                         60 - 70;10986;6940;4046
                         70 - 80;21677;12831;8846
                         80 u.ä.;51907;20394;31513
1       Braunschweig             ;;;
                         Insgesamt;20067;9718;10349
                         u. 1 Jahr;53;32;21
                          1 - 15;26;14;12
                         15 - 20;18;13;5
                         20 - 30;77;57;20
                         30 - 40;136;87;49
                         40 - 50;375;236;139
                         50 - 60;1216;810;406
                         60 - 70;2288;1470;818
                         70 - 80;4601;2676;1925
                         80 u.ä.;11277;4323;6954
101     Braunschweig,Stadt       ;;;
                         Insgesamt;2876;1342;1534
                         u. 1 Jahr;5;4;1
                          1 - 15;2;1;1
                         15 - 20;2;2;-
                         20 - 30;13;7;6
                         30 - 40;18;13;5
                         40 - 50;51;35;16
                         50 - 60;173;111;62
                         60 - 70;317;187;130
                         70 - 80;667;371;296
                         80 u.ä.;1628;611;1017
102     Salzgitter,Stadt         ;;;
                         Insgesamt;1448;698;750
                         u. 1 Jahr;2;1;1
                          1 - 15;7;4;3
                         15 - 20;1;1;-
                         20 - 30;2;2;-
                         30 - 40;12;11;1
                         40 - 50;25;16;9
                         50 - 60;102;72;30
                         60 - 70;161;100;61
                         70 - 80;336;196;140
                         80 u.ä.;800;295;505
103     Wolfsburg,Stadt          ;;;
                         Insgesamt;1492;747;745
                         u. 1 Jahr;7;5;2
                          1 - 15;2;1;1
                         15 - 20;1;1;-
                         20 - 30;5;4;1
                         30 - 40;15;8;7
                         40 - 50;22;14;8
                         50 - 60;82;54;28
                         60 - 70;174;121;53
                         70 - 80;351;198;153
                         80 u.ä.;833;341;492
151     Gifhorn                  ;;;
                         Insgesamt;1794;919;875
                         u. 1 Jahr;5;5;-
                          1 - 15;3;2;1
                         15 - 20;6;3;3
                         20 - 30;18;13;5
                         30 - 40;12;10;2
                         40 - 50;40;26;14
                         50 - 60;138;101;37
                         60 - 70;192;118;74
                         70 - 80;436;257;179
                         80 u.ä.;944;384;560
153     Goslar                   ;;;
                         Insgesamt;2123;1040;1083
                         u. 1 Jahr;1;-;1
                          1 - 15;1;1;-
                         15 - 20;1;1;-
                         20 - 30;9;9;-
                         30 - 40;15;11;4
                         40 - 50;45;35;10
                         50 - 60;126;83;43
                         60 - 70;220;143;77
                         70 - 80;477;282;195
                         80 u.ä.;1228;475;753
154     Helmstedt                ;;;
                         Insgesamt;1333;660;673
                         u. 1 Jahr;4;3;1
                          1 - 15;-;-;-
                         15 - 20;2;2;-
                         20 - 30;3;3;-
                         30 - 40;11;2;9
                         40 - 50;30;18;12
                         50 - 60;89;65;24
                         60 - 70;146;96;50
                         70 - 80;311;190;121
                         80 u.ä.;737;281;456
155     Northeim                 ;;;
                         Insgesamt;1922;931;991
                         u. 1 Jahr;3;2;1
                          1 - 15;1;1;-
                         15 - 20;-;-;-
                         20 - 30;1;-;1
                         30 - 40;10;6;4
                         40 - 50;41;21;20
                         50 - 60;101;63;38
                         60 - 70;238;167;71
                         70 - 80;401;236;165
                         80 u.ä.;1126;435;691
157     Peine                    ;;;
                         Insgesamt;1614;761;853
                         u. 1 Jahr;8;3;5
                          1 - 15;2;1;1
                         15 - 20;2;2;-
                         20 - 30;4;3;1
