kreis,kreisnummer,total,age_under_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_over_80,insgesamt,age_under_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_over_80,SR_under_20,SR_20_30,SR_30_40,SR_40_50,SR_50_60,SR_60_70,SR_70_80,SR_over_80,PopProp_under_20,PopProp_20_30,PopProp_30_40,PopProp_40_50,PopProp_50_60,PopProp_60_70,PopProp_70_80,PopProp_over_80,SMR_under_20,SMR_20_30,SMR_30_40,SMR_40_50,SMR_50_60,SMR_60_70,SMR_70_80,PopProp_over_80,SMR
"Braunschweig,Stadt",101,22943,106,90,154,426,1389,2605,5268,12905,1843757,326898,233805,222706,232738,295741,225735,182161,123973,32.42601668,38.49361648,69.14946162,183.0384381,469.667716,1154.008018,2891.947233,10409.52465,0.177299937,0.12680901,0.120789236,0.1262303,0.160401289,0.122432078,0.098798811,0.067239338,5.749130715,4.8813374,8.352510662,23.10499703,75.3353072,141.2875992,285.7209491,699.929546,1244.361377
"Salzgitter,Stadt",102,1448,10,2,12,25,102,161,336,800,104548,20683,12615,11921,12677,16081,12993,10479,7099,48.34888556,15.85414189,100.6626961,197.2075412,634.2889124,1239.128762,3206.412826,11269.19284,0.197832575,0.12066228,0.11402418,0.121255309,0.153814516,0.124277844,0.100231473,0.067901825,9.564984505,1.912996901,11.47798141,23.91246126,97.56284195,153.9962505,321.3834794,765.1987604,1385.009756
"Wolfsburg,Stadt",103,1492,10,5,15,22,82,174,351,833,123914,22395,15214,17221,15363,18516,14149,12288,8768,44.65282429,32.86446694,87.10295569,143.2011977,442.860229,1229.768888,2856.445313,9500.456204,0.180730184,0.122778701,0.138975418,0.123981148,0.149426215,0.114184031,0.09916555,0.070758752,8.070113143,4.035056571,12.10516971,17.75424891,66.17492777,140.4199687,283.2609713,672.2404248,1204.060881
Gifhorn,151,1794,14,18,12,40,138,192,436,944,175079,35348,18287,20612,23139,31318,21680,15085,9610,39.6062012,98.4305791,58.21851349,172.8683176,440.6411648,885.6088561,2890.288366,9823.100937,0.201897429,0.104449991,0.117729711,0.132163195,0.178879249,0.123829814,0.086161104,0.054889507,7.996390201,10.28107312,6.854048744,22.84682915,78.82156055,109.6647799,249.0304377,539.1851678,1024.680287
Goslar,153,2123,3,9,15,45,126,220,477,1228,137563,21649,15482,13621,16911,22758,19085,16647,11410,13.857453,58.13202429,110.1240731,266.0989888,553.6514632,1152.737752,2865.38115,10762.48904,0.157375166,0.112544798,0.099016451,0.122932765,0.165436927,0.138736433,0.121013645,0.082943815,2.18081897,6.542456911,10.90409485,32.71228455,91.59439675,159.9267245,346.7502163,892.6818985,1543.292891
Helmstedt,154,1333,0,3,11,30,89,146,311,737,91720,16254,9210,10540,11711,16185,12201,9167,6452,0,32.5732899,104.3643264,256.1694134,549.8918752,1196.623228,3392.603905,11422.81463,0.177213258,0.100414304,0.114914959,0.127682076,0.176460968,0.133024422,0.099945486,0.070344527,0,3.270824248,11.99302224,32.70824248,97.03445268,159.1801134,339.075447,803.5324902,1446.794592
Northeim,155,1922,0,1,10,41,101,238,401,1126,133046,23060,13196,13250,16646,23510,18765,14212,10407,0,7.578053956,75.47169811,246.3054187,429.6044236,1268.318678,2821.559246,10819.64063,0.173323512,0.099183741,0.099589616,0.125114622,0.176705801,0.141041444,0.106820198,0.078221066,0,0.751619741,7.516197405,30.81640936,75.91359379,178.8854982,301.399516,846.3238278,1441.606662
Peine,157,1614,12,4,11,28,99,190,387,883,133368,26475,13319,14889,18368,23080,16233,12537,8467,45.32577904,30.03228471,73.88004567,152.4390244,428.9428076,1170.455245,3086.862886,10428.72328,0.198510887,0.099866535,0.111638474,0.137724192,0.173055006,0.121715854,0.094003059,0.063485994,8.997660608,2.999220203,8.247855558,20.99454142,74.23070002,142.4629596,290.1745546,662.0778598,1210.185352
Wolfenbüttel,158,1498,0,9,7,24,89,172,381,811,120437,21731,12534,12533,16006,21190,15620,12853,7970,0,71.80469124,55.85254927,149.9437711,420.0094384,1101.152369,2964.288493,10175.65872,0.180434584,0.104071008,0.104062705,0.132899358,0.175942609,0.129694363,0.106719696,0.066175677,0,7.472786602,5.812167357,19.92743094,73.8975564,142.8132551,316.3479662,673.3811038,1239.652266
Göttingen,159,3967,24,13,25,69,217,478,854,2287,328036,57489,46556,37791,39309,51975,41097,32025,21794,41.74711684,27.92336111,66.15331693,175.5323208,417.5084175,1163.10193,2666.666667,10493.71387,0.175252106,0.141923447,0.115203819,0.11983136,0.158442976,0.125281981,0.09762648,0.06643783,7.316270165,3.962979673,7.621114756,21.03427673,66.15127608,145.7157141,260.3372801,697.1795779,1209.318489
