Kennziffer,Raumeinheit,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,ZX_1,ZX_2,ZX_3,ZX_4,ZX_5,ZX_6,ZX_7,ZX_8
101,"Braunschweig, Stadt",48.5,27.6,59.6,3021,1871,6.3,9.6,501.8,-0.030449478080425234,3.5673317188813893,0.346444840969944,1.404529998682808,0.47851426803901437,0.1679211217705378,-0.4695534628816984,1.6842441470419907
102,"Salzgitter, Stadt",84.4,7.3,57.5,3344,1651,8.2,13.2,379.8,2.4921726675055926,-0.7817374459366399,-0.37787014734111146,2.256426323622493,-1.3206848408049798,1.2808866962961971,1.3812412083308339,-0.3455001987511226
103,"Wolfsburg, Stadt",41.7,17.1,64.4,4367,2064,4.2,7.7,526,-0.5082720571886401,1.3178131853548225,2.0020219571094997,4.9545375942518985,2.0569025771612455,-1.0621987237578225,-1.4463617615772015,2.0868655664534113
151,Gifhorn,38.4,13.4,61.2,2408,1993,5.3,8.8,477.7,-0.7401565441088036,0.5251257021121275,0.8983038796831292,-0.21222680375690411,1.476251955670684,-0.4178502332429672,-0.8808411675955939,1.2832864525041705
153,Goslar,57,10.8,55.5,2399,1756,5.2,12.5,366.3,0.5668287458048435,-0.03189793476111749,-1.0676939457325925,-0.23596385305862907,-0.4619761752203463,-0.4764273687443175,1.0213644667061752,-0.5701030566872458
154,Helmstedt,57.9,10.4,61.6,2354,1945,7,11.1,437.4,0.6300699695103426,-0.11759387889546295,1.0362686393614249,-0.35464909956725393,1.0836994228319943,0.5779610702799914,0.30161098345685683,0.6128053284430025
155,Northeim,48.9,8.4,60.3,2440,1859,4.4,10.7,381.7,-0.00234226754464798,-0.5460735995671899,0.5878831704069608,-0.12782840623965974,0.38037613482934196,-0.9450444527551214,0.09596713109990858,-0.31388942615270565
157,Peine,43.4,10.4,60.4,2370,1815,3.7,10.3,439.7,-0.3888164124115866,-0.11759387889546295,0.6223743603265354,-0.3124499008086318,0.0205363130605431,-1.355084401264575,-0.10967672125703876,0.6510710005358237
158,Wolfenbüttel,44.4,14.5,58.7,2363,1869,5.5,9.1,470.2,-0.3185483860721432,0.7607895484815772,0.036024131693778064,-0.330912050265529,0.46215791250406896,-0.30069596224026607,-0.72660827832788355,1.158507086984102
159,Göttingen,46.6,18.7,55.5,2634,1739,4.2,9.5,403.3,-0.16395872812536758,1.6605969618922036,-1.0676939457325925,0.38383687870863414,-0.6010051972673822,-1.0621987237578225,-0.5209644259709353,0.04547514654509186
241,Region Hannover,57.9,18.5,57.9,2928,1798,5.3,11.5,470.3,0.6300699695103426,1.617748989825031,-0.23990538766281577,1.1592471558983166,-0.11849270898649282,-0.4178502332429672,0.507254835813805,1.1601708118577032
251,Diepholz,35.9,8.9,62.1,2299,1963,4.1,9.4,433.1,-0.915826609957412,-0.4389536693992582,1.208724588959295,-0.4997088453000177,1.2309066226465029,-1.1207758592591732,-0.572375389060172,0.541265158878164
252,Hameln-Pyrmont,56.5,9.6,59.5,2626,1830,5,12.8,406.5,0.5316947326351219,-0.28898576716415386,0.31195365105036943,0.36273727932932304,0.14320897957263362,-0.5935816397470186,1.1755973559738866,0.09871434250032088
254,Hildesheim,53,12.8,58,2513,1776,6.4,10.8,421.4,0.28575664044707,0.39658178591060944,-0.20541419774324124,0.06470543809655392,-0.29841261987089224,0.22649825727188863,0.14737809418914632,0.3466093486668565
255,Holzminden,54.3,8.6,57.1,2573,1793,5.2,12.2,355.2,0.3771050746883462,-0.5032256275000173,-0.5158349070194072,0.22295243344138707,-0.15938359782385633,-0.4764273687443175,0.8671315774384638,-0.7547765176569474
256,Nienburg (Weser),45.2,7.1,60.5,2403,1781,6,10.9,369.7,-0.2623339650005882,-0.8245854180038126,0.6568655502461099,-0.22541405336897352,-0.2575217310335287,-0.00781028473351358,0.19878905727838314,-0.5135364109848152
257,Schaumburg,48.5,10,57.6,2365,1820,4.8,11.7,410,-0.030449478080425234,-0.20328982302980841,-0.3433789574215369,-0.3256371504207012,0.061427201897906604,-0.7107359107497198,0.6100767619922788,0.15694471307635283
351,Celle,57.1,9.6,57.3,2543,1739,7.7,11.9,403.4,0.573855548438788,-0.28898576716415386,-0.44685252718026053,0.1438289357689705,-0.6010051972673822,0.988001018789445,0.7128986881707533,0.047138871418692205
352,Cuxhaven,45.3,7.7,57.9,2183,1843,7.2,10.8,398.2,-0.2553071623666443,-0.6960415018022944,-0.23990538766281577,-0.8056530363000285,0.24952529054977873,0.6951153412826926,0.14737809418914632,-0.039374822008555056
353,Harburg,34.4,13.1,61.6,2333,2134,3.8,7.9,550.4,-1.0212286494665772,0.46085374401136825,1.0362686393614249,-0.41003554793794555,2.6293750208843347,-1.2965072657632246,-1.3435398353987273,2.4928144356120336
354,Lüchow-Dannenberg,62.6,8.7,53.8,2191,1763,8.4,11.7,308,0.9603296933057266,-0.48180164146643106,-1.6540441743653522,-0.7845534369207173,-0.40472893084803735,1.3980409672988987,0.6100767619922788,-1.540054657996578
355,Lüneburg,43.7,16.4,55.5,2432,1739,4.9,9.4,440.9,-0.3677360045097533,1.1678452831197175,-1.0676939457325925,-0.14892800561897085,-0.6010051972673822,-0.6521587752483688,-0.572375389060172,0.6710356990190345
356,Osterholz,31.3,11.5,60.8,2207,1903,3.6,8.5,463,-1.2390595311188515,0.11806996747398679,0.7603391200048311,-0.7423542381620952,0.7402159565981408,-1.4136615367659255,-1.0350740568633054,1.0387188960848366
357,Rotenburg (Wümme),36.2,8,61.1,2333,1892,5.6,9.3,393.8,-0.8947462020555788,-0.6317695437015354,0.8638126897635546,-0.41003554793794555,0.6502560011559411,-0.2421188267389158,-0.6237863521494089,-0.11257871644699484
358,Heidekreis,49.8,7.3,58.8,2402,1759,6.3,10.9,375.9,0.06089895616085097,-0.7817374459366399,0.07051532161335015,-0.22805150329138743,-0.43744164191792817,0.1679211217705378,0.19878905727838314,-0.41038546882155874
359,Stade,47.2,10.8,60.9,2515,1911,4.8,9.3,482.2,-0.12179791232170144,-0.03189793476111749,0.7948303099244056,0.0699803379413817,0.8056413787379224,-0.7107359107497198,-0.6237863521494089,1.3581540718162115
360,Uelzen,46.4,9.1,56.9,2276,1776,5.9,11.8,351.6,-0.17801233339325645,-0.3961056973320856,-0.5848172868585563,-0.5603701935155371,-0.29841261987089224,-0.06638742023486388,0.6614877250815164,-0.8146706131065797
