"","kreis","kreisnummer","total","age_under_20","age_20_30","age_30_40","age_40_50","age_50_60","age_60_70","age_70_80","age_over_80"
"1","Braunschweig,Stadt","101",248023,0.164932284505872,0.156017788672825,0.141777173891131,0.12621410111159,0.143389927547042,0.108683468871838,0.0944831729315426,0.0645020824681582
"2","Salzgitter,Stadt","102",104548,0.197832574511229,0.120662279527107,0.114024180280828,0.1212553085664,0.153814515820484,0.124277843669893,0.100231472625014,0.0679018249990435
"3","Wolfsburg,Stadt","103",123914,0.180730183837177,0.122778701357393,0.138975418435366,0.123981148215698,0.149426214955534,0.114184030860113,0.0991655503010152,0.0707587520377036
"4","Gifhorn","151",175079,0.20189742916055,0.104449991146854,0.117729710587792,0.132163194900588,0.178879248796258,0.123829813969694,0.0861611044157209,0.0548895070225441
"5","Goslar","153",137563,0.157375166287446,0.112544797656347,0.099016450644432,0.122932765351148,0.165436927080683,0.138736433488656,0.121013644657357,0.0829438148339306
"6","Helmstedt","154",91720,0.177213257740951,0.10041430440471,0.11491495856956,0.127682075883123,0.176460968163977,0.133024422154383,0.0999454862625382,0.0703445268207588
"7","Northeim","155",133046,0.173323512168724,0.0991837409617726,0.0995896156216647,0.125114622010432,0.176705801001157,0.141041444312493,0.106820197525668,0.0782210663980879
"8","Peine","157",133368,0.198510887169336,0.0998665347009777,0.111638473996761,0.137724191710155,0.173055005698518,0.121715853877992,0.0940030592046068,0.0634859936416532
"9","Wolfenbüttel","158",120437,0.180434584056395,0.104071008078913,0.104062704982688,0.132899358170662,0.175942608998896,0.129694363027973,0.106719695774554,0.0661756769099197
"10","Göttingen","159",328036,0.175252106476118,0.141923447426502,0.115203819093026,0.119831359972686,0.158442975770952,0.125281981245961,0.0976264800204856,0.0664378299942689
"11","Hannover,Region","241",1152675,0.18551890168521,0.12816708959594,0.129569045914937,0.131171405643395,0.154701889084087,0.113212310495153,0.0947630511635977,0.0628963064176806
"12","Diepholz","251",216012,0.189887598837102,0.104535859118938,0.107494028109549,0.134381423254264,0.175087495139159,0.126460567005537,0.0983047238116401,0.0638483047238116
"13","Hameln-Pyrmont","252",148296,0.177691913470357,0.100629821438205,0.102639315962669,0.124278470086853,0.170361978745212,0.134352915790042,0.11043453633274,0.0796110481739224
"14","Hildesheim","254",276640,0.178553354540197,0.120242914979757,0.106871746674378,0.12787015615963,0.16831983805668,0.126745951417004,0.101250722961249,0.0701453152111047
"15","Holzminden","255",71144,0.172860676936917,0.105490273248623,0.100163049589565,0.11993984032385,0.168756325199595,0.139997751040144,0.110676936916676,0.0821151467446306
"16","Nienburg (Weser)","256",121470,0.193092944760023,0.106874125298428,0.106050876759694,0.12941467028896,0.175170824071787,0.1293241129497,0.0933399193216432,0.0667325265497654
"17","Schaumburg","257",157883,0.18123547183674,0.100010767467048,0.103500693551554,0.128924583394032,0.174458301400404,0.13053970345129,0.107231304193612,0.0740991747053198
"18","Celle","351",178764,0.194966548074556,0.104551251929919,0.112628940950079,0.124381866595064,0.16347810521134,0.13061914031908,0.103432458436822,0.0659416884831398
"19","Cuxhaven","352",198100,0.184432104997476,0.0953407370015144,0.101802120141343,0.129025744573448,0.168495709237759,0.140247349823322,0.111605249873801,0.0690509843513377
"20","Harburg","353",251511,0.193760909065607,0.0964927975317183,0.112293299299037,0.138105291617464,0.175634465291777,0.118794009009546,0.105375112818127,0.0595441153667235
