"kreis","kreisnummer","total","age_under_20","age_20_30","age_30_40","age_40_50","age_50_60","age_60_70","age_70_80","age_over_80"
"Braunschweig,Stadt","101",248023,40907,38696,35164,31304,35564,26956,23434,15998
"Salzgitter,Stadt","102",104548,20683,12615,11921,12677,16081,12993,10479,7099
"Wolfsburg,Stadt","103",123914,22395,15214,17221,15363,18516,14149,12288,8768
"Gifhorn","151",175079,35348,18287,20612,23139,31318,21680,15085,9610
"Goslar","153",137563,21649,15482,13621,16911,22758,19085,16647,11410
"Helmstedt","154",91720,16254,9210,10540,11711,16185,12201,9167,6452
"Northeim","155",133046,23060,13196,13250,16646,23510,18765,14212,10407
"Peine","157",133368,26475,13319,14889,18368,23080,16233,12537,8467
"Wolfenbüttel","158",120437,21731,12534,12533,16006,21190,15620,12853,7970
"Göttingen","159",328036,57489,46556,37791,39309,51975,41097,32025,21794
"Hannover,Region","241",1152675,213843,147735,149351,151198,178321,130497,109231,72499
"Diepholz","251",216012,41018,22581,23220,29028,37821,27317,21235,13792
"Hameln-Pyrmont","252",148296,26351,14923,15221,18430,25264,19924,16377,11806
"Hildesheim","254",276640,49395,33264,29565,35374,46564,35063,28010,19405
"Holzminden","255",71144,12298,7505,7126,8533,12006,9960,7874,5842
"Nienburg (Weser)","256",121470,23455,12982,12882,15720,21278,15709,11338,8106
"Schaumburg","257",157883,28614,15790,16341,20355,27544,20610,16930,11699
"Celle","351",178764,34853,18690,20134,22235,29224,23350,18490,11788
"Cuxhaven","352",198100,36536,18887,20167,25560,33379,27783,22109,13679
"Harburg","353",251511,48733,24269,28243,34735,44174,29878,26503,14976
"Lüchow-Dannenberg","354",48357,8353,4181,4694,5740,8369,7211,5925,3884
"Lüneburg","355",182930,36037,22489,21956,25094,30004,21120,16336,9894
"Osterholz","356",113105,21464,10409,11939,15315,20206,14611,12285,6876
"Rotenburg (Wümme)","357",163377,32135,18340,18257,21814,28042,20338,15083,9368
"Heidekreis","358",139099,26625,15552,15284,17961,23469,17344,13636,9228
"Stade","359",201887,40279,22418,23491,26965,33217,24497,19738,11282
"Uelzen","360",92744,16204,9490,9163,12016,16140,12524,10169,7038
"Verden","361",136590,27129,14320,15255,17901,22871,17604,13496,8014
"Delmenhorst,Stadt","401",77521,15095,9489,8909,9887,12272,9477,7850,4542
"Emden,Stadt","402",50607,9663,7237,6071,6452,7496,6017,4657,3014
"Oldenburg(Oldb),Stadt","403",167081,29761,27454,22552,21112,24958,18220,14235,8789
"Osnabrück,Stadt","404",164374,28576,31368,22095,20266,22496,16514,13490,9569
"Wilhelmshaven,Stadt","405",76316,12517,11055,7759,8367,11809,9781,9247,5781
"Ammerland","451",123377,24366,12461,13323,16565,20588,15670,12930,7474
"Aurich","452",189949,36344,20972,19925,25325,31576,25867,19062,10878
"Cloppenburg","453",167925,38976,22288,20881,22316,26405,17755,11329,7975
"Emsland","454",323636,67140,39716,39629,43900,52021,38321,26382,16527
"Friesland","455",98509,18011,9561,9522,12470,16874,13323,11830,6918
"Grafschaft Bentheim","456",135859,27980,15456,15356,18173,22440,16576,11866,8012
"Leer","457",168946,33508,19475,19188,22441,27714,21197,15989,9434
"Oldenburg","458",129924,25786,13272,13963,18019,23262,15896,12251,7475
"Osnabrück","459",356140,72412,39753,39872,47391,60412,43078,31181,22041
"Vechta","460",140540,31665,19492,17849,18854,22262,14642,9274,6502
"Wesermarsch","461",89022,16618,9619,8821,11526,15631,11736,9221,5850
"Wittmund","462",56731,10710,5918,5669,7261,9472,7972,6077,3652
