"kreis","kreisnummer","total","age_under_20","age_20_30","age_30_40","age_40_50","age_50_60","age_60_70","age_70_80","age_over_80"
"Braunschweig,Stadt","101",23,0,1,1,3,4,3,2,9
"Salzgitter,Stadt","102",7,0,0,1,0,2,1,2,1
"Wolfsburg,Stadt","103",18,0,0,3,2,5,2,6,0
"Gifhorn","151",26,1,6,2,3,6,4,2,2
"Goslar","153",22,0,2,0,3,4,5,3,5
"Helmstedt","154",9,0,0,0,1,4,2,0,2
"Northeim","155",14,0,0,0,3,1,4,3,3
"Peine","157",18,0,0,1,3,5,1,4,4
"Wolfenbüttel","158",6,0,0,1,1,2,0,2,0
"Göttingen","159",36,0,1,4,5,9,8,3,6
"Hannover,Region","241",158,2,10,17,23,25,34,22,25
"Diepholz","251",27,0,1,4,3,5,6,2,6
"Hameln-Pyrmont","252",14,0,0,0,0,6,4,1,3
"Hildesheim","254",28,0,1,2,6,5,4,5,5
"Holzminden","255",3,0,0,0,1,2,0,0,0
"Nienburg (Weser)","256",10,1,1,0,0,1,2,1,4
"Schaumburg","257",22,0,0,1,3,4,2,7,5
"Celle","351",22,0,1,1,3,5,2,4,6
"Cuxhaven","352",26,1,0,0,2,3,9,4,7
"Harburg","353",18,0,0,3,4,3,2,5,1
"Lüchow-Dannenberg","354",7,0,0,1,3,2,0,1,0
"Lüneburg","355",21,0,0,2,5,7,2,5,0
"Osterholz","356",11,0,0,0,2,2,3,1,3
"Rotenburg (Wümme)","357",18,0,1,1,2,4,5,1,4
"Heidekreis","358",17,0,1,0,4,1,3,4,4
"Stade","359",21,0,2,1,2,5,2,5,4
"Uelzen","360",15,0,0,0,3,4,3,2,3
"Verden","361",16,0,0,1,0,6,2,3,4
"Delmenhorst,Stadt","401",8,0,0,0,2,3,1,1,1
"Emden,Stadt","402",0,0,0,0,0,0,0,0,0
"Oldenburg(Oldb),Stadt","403",21,0,0,6,3,6,1,2,3
"Osnabrück,Stadt","404",17,0,0,2,1,3,3,6,2
"Wilhelmshaven,Stadt","405",8,0,0,0,0,3,3,0,2
"Ammerland","451",12,0,0,1,1,5,0,4,1
"Aurich","452",21,1,1,3,3,3,4,3,3
"Cloppenburg","453",7,0,0,1,1,3,0,1,1
"Emsland","454",35,1,4,3,11,9,2,2,3
"Friesland","455",11,0,0,0,2,2,2,1,4
"Grafschaft Bentheim","456",8,0,1,2,2,0,0,1,2
"Leer","457",22,0,0,2,5,4,6,3,2
"Oldenburg","458",15,0,0,0,1,6,2,3,3
"Osnabrück","459",42,2,2,6,3,9,6,8,6
"Vechta","460",8,0,3,1,2,0,1,0,1
"Wesermarsch","461",19,0,0,0,2,4,2,4,7
"Wittmund","462",1,0,0,0,0,0,0,1,0
