Kennziffer;Raumeinheit;Aggregat;Arbeitslosigkeit ;Beschäftigte am Wohnort mit akademischem Abschluss;Beschäftigtenquote;Bruttoverdienst ;Haushaltseinkommen;Schulabgänger ohne Abschluss;Schuldnerquote;Einkommensteuer
;;;2017;2017;2017;2017;2017;2017;2017;2017
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"48,5";"27,6";"59,6";"3.021";"1.871";"6,3";"9,6";"501,8"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"84,4";"7,3";"57,5";"3.344";"1.651";"8,2";"13,2";"379,8"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"41,7";"17,1";"64,4";"4.367";"2.064";"4,2";"7,7";"526,0"
"03151";"Gifhorn";"Landkreis";"38,4";"13,4";"61,2";"2.408";"1.993";"5,3";"8,8";"477,7"
"03153";"Goslar";"Landkreis";"57,0";"10,8";"55,5";"2.399";"1.756";"5,2";"12,5";"366,3"
"03154";"Helmstedt";"Landkreis";"57,9";"10,4";"61,6";"2.354";"1.945";"7,0";"11,1";"437,4"
"03155";"Northeim";"Landkreis";"48,9";"8,4";"60,3";"2.440";"1.859";"4,4";"10,7";"381,7"
"03157";"Peine";"Landkreis";"43,4";"10,4";"60,4";"2.370";"1.815";"3,7";"10,3";"439,7"
"03158";"Wolfenbüttel";"Landkreis";"44,4";"14,5";"58,7";"2.363";"1.869";"5,5";"9,1";"470,2"
"03159";"Göttingen";"Landkreis";"46,6";"18,7";"55,5";"2.634";"1.739";"4,2";"9,5";"403,3"
"03241";"Region Hannover";"Landkreis";"57,9";"18,5";"57,9";"2.928";"1.798";"5,3";"11,5";"470,3"
"03251";"Diepholz";"Landkreis";"35,9";"8,9";"62,1";"2.299";"1.963";"4,1";"9,4";"433,1"
"03252";"Hameln-Pyrmont";"Landkreis";"56,5";"9,6";"59,5";"2.626";"1.830";"5,0";"12,8";"406,5"
"03254";"Hildesheim";"Landkreis";"53,0";"12,8";"58,0";"2.513";"1.776";"6,4";"10,8";"421,4"
