Alter;Insgesamt;Männlich;Weiblich
0       Niedersachsen            ;;;
                         Insgesamt;950;700;250
                         u. 1 Jahr;0;0;0
                          1 - 15;3;3;0
                         15 - 20;18;12;6
                         20 - 30;68;49;19
                         30 - 40;95;71;24
                         40 - 50;129;102;27
                         50 - 60;192;132;60
                         60 - 70;148;109;39
                         70 - 80;140;102;38
                         80 u.ä.;157;120;37
1       Braunschweig             ;;;
                         Insgesamt;179;134;45
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;1;0;1
                         20 - 30;10;9;1
                         30 - 40;13;9;4
                         40 - 50;24;20;4
                         50 - 60;42;30;12
                         60 - 70;30;23;7
                         70 - 80;27;22;5
                         80 u.ä.;32;21;11
101     Braunschweig,Stadt       ;;;
                         Insgesamt;23;14;9
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;1;0;1
                         30 - 40;1;0;1
                         40 - 50;3;2;1
                         50 - 60;4;4;0
                         60 - 70;3;2;1
                         70 - 80;2;1;1
                         80 u.ä.;9;5;4
102     Salzgitter,Stadt         ;;;
                         Insgesamt;7;4;3
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;0;0;0
                         30 - 40;1;1;0
                         40 - 50;0;0;0
                         50 - 60;2;1;1
                         60 - 70;1;0;1
                         70 - 80;2;2;0
                         80 u.ä.;1;0;1
103     Wolfsburg,Stadt          ;;;
                         Insgesamt;18;14;4
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;0;0;0
                         30 - 40;3;2;1
                         40 - 50;2;2;0
                         50 - 60;5;4;1
                         60 - 70;2;0;2
                         70 - 80;6;6;0
                         80 u.ä.;0;0;0
151     Gifhorn                  ;;;
                         Insgesamt;26;18;8
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;1;0;1
                         20 - 30;6;6;0
                         30 - 40;2;2;0
                         40 - 50;3;2;1
                         50 - 60;6;3;3
                         60 - 70;4;4;0
                         70 - 80;2;1;1
                         80 u.ä.;2;0;2
153     Goslar                   ;;;
                         Insgesamt;22;18;4
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;2;2;0
                         30 - 40;0;0;0
                         40 - 50;3;2;1
                         50 - 60;4;3;1
                         60 - 70;5;4;1
                         70 - 80;3;3;0
                         80 u.ä.;5;4;1
154     Helmstedt                ;;;
                         Insgesamt;9;7;2
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;0;0;0
                         30 - 40;0;0;0
                         40 - 50;1;1;0
                         50 - 60;4;3;1
                         60 - 70;2;2;0
                         70 - 80;0;0;0
                         80 u.ä.;2;1;1
155     Northeim                 ;;;
                         Insgesamt;14;12;2
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;0;0;0
                         30 - 40;0;0;0
                         40 - 50;3;3;0
                         50 - 60;1;1;0
                         60 - 70;4;3;1
                         70 - 80;3;2;1
                         80 u.ä.;3;3;0
157     Peine                    ;;;
                         Insgesamt;18;12;6
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;0;0;0
                         30 - 40;1;1;0
                         40 - 50;3;3;0
                         50 - 60;5;2;3
                         60 - 70;1;1;0
                         70 - 80;4;3;1
                         80 u.ä.;4;2;2
158     Wolfenbüttel             ;;;
                         Insgesamt;6;4;2
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;0;0;0
                         30 - 40;1;1;0
                         40 - 50;1;0;1
                         50 - 60;2;2;0
                         60 - 70;0;0;0
                         70 - 80;2;1;1
                         80 u.ä.;0;0;0
159     Göttingen                ;;;
                         Insgesamt;36;31;5
                         u. 1 Jahr;0;0;0
                          1 - 15;0;0;0
                         15 - 20;0;0;0
                         20 - 30;1;1;0
                         30 - 40;4;2;2
                         40 - 50;5;5;0
                         50 - 60;9;7;2
                         60 - 70;8;7;1
                         70 - 80;3;3;0
                         80 u.ä.;6;6;0
2       Hannover                 ;;;
                         Insgesamt;262;188;74
