"kreis","kreisnummer","total","age_under_20","age_20_30","age_30_40","age_40_50","age_50_60","age_60_70","age_70_80","age_80_other","variable"
"Niedersachsen","0","93713",491,346,642,1763,5901,10986,21677,51907,"Insg"
"Niedersachsen","0","45958",295,248,429,1097,3724,6940,12831,20394,"Männlich"
"Niedersachsen","0","47755",196,98,213,666,2177,4046,8846,31513,"Weiblich"
"Braunschweig","1","20067",97,77,136,375,1216,2288,4601,11277,"Insg"
"Braunschweig","1","9718",59,57,87,236,810,1470,2676,4323,"Männlich"
"Braunschweig","1","10349",38,20,49,139,406,818,1925,6954,"Weiblich"
"Braunschweig,Stadt","101","2876",9,13,18,51,173,317,667,1628,"Insg"
"Braunschweig,Stadt","101","1342",7,7,13,35,111,187,371,611,"Männlich"
"Braunschweig,Stadt","101","1534",NA,6,5,16,62,130,296,1017,"Weiblich"
"Salzgitter,Stadt","102","1448",10,2,12,25,102,161,336,800,"Insg"
"Salzgitter,Stadt","102","698",6,2,11,16,72,100,196,295,"Männlich"
"Salzgitter,Stadt","102","750",NA,NA,1,9,30,61,140,505,"Weiblich"
"Wolfsburg,Stadt","103","1492",10,5,15,22,82,174,351,833,"Insg"
"Wolfsburg,Stadt","103","747",7,4,8,14,54,121,198,341,"Männlich"
"Wolfsburg,Stadt","103","745",NA,1,7,8,28,53,153,492,"Weiblich"
"Gifhorn","151","1794",14,18,12,40,138,192,436,944,"Insg"
"Gifhorn","151","919",10,13,10,26,101,118,257,384,"Männlich"
"Gifhorn","151","875",NA,5,2,14,37,74,179,560,"Weiblich"
"Goslar","153","2123",3,9,15,45,126,220,477,1228,"Insg"
"Goslar","153","1040",NA,9,11,35,83,143,282,475,"Männlich"
"Goslar","153","1083",NA,NA,4,10,43,77,195,753,"Weiblich"
"Helmstedt","154","1333",NA,3,11,30,89,146,311,737,"Insg"
"Helmstedt","154","660",NA,3,2,18,65,96,190,281,"Männlich"
"Helmstedt","154","673",NA,NA,9,12,24,50,121,456,"Weiblich"
"Northeim","155","1922",NA,1,10,41,101,238,401,1126,"Insg"
"Northeim","155","931",NA,NA,6,21,63,167,236,435,"Männlich"
"Northeim","155","991",NA,1,4,20,38,71,165,691,"Weiblich"
"Peine","157","1614",12,4,11,28,99,190,387,883,"Insg"
"Peine","157","761",6,3,7,19,62,117,229,318,"Männlich"
"Peine","157","853",NA,1,4,9,37,73,158,565,"Weiblich"
"Wolfenbüttel","158","1498",NA,9,7,24,89,172,381,811,"Insg"
"Wolfenbüttel","158","732",NA,8,4,11,58,113,208,327,"Männlich"
"Wolfenbüttel","158","766",NA,1,3,13,31,59,173,484,"Weiblich"
"Göttingen","159","3967",24,13,25,69,217,478,854,2287,"Insg"
"Göttingen","159","1888",10,8,15,41,141,308,509,856,"Männlich"
"Göttingen","159","2079",14,5,10,28,76,170,345,1431,"Weiblich"
"Hannover","2","25891",127,97,166,494,1620,2971,5891,14525,"Insg"
"Hannover","2","12542",67,64,110,306,1009,1847,3437,5702,"Männlich"
"Hannover","2","13349",60,33,56,188,611,1124,2454,8823,"Weiblich"
"Hannover,Region","241","12676",62,53,80,232,826,1504,2902,7017,"Insg"
"Hannover,Region","241","6093",32,32,56,154,509,914,1699,2697,"Männlich"
"Hannover,Region","241","6583",30,21,24,78,317,590,1203,4320,"Weiblich"
"Hannover,Landeshauptstadt","241001","5556",31,26,40,108,386,667,1209,3089,"Insg"
